"pathway","cell_type","outdegree","indegree","flowbet","info"
"COLLAGEN","Pericytes",0.00409883346883021,0.000570376747742566,0.00277396253854831,0.0963631804724376
"COLLAGEN","TNK cells",0,0.000851214693811898,0,0
"COLLAGEN","Tregs",0,0.000525217730743898,0,0
"Prostaglandin","B cells",7.96440683164615e-05,0,0,0
"Prostaglandin","Basal epithelial",0.000251378568060577,0,0,0
"Prostaglandin","CD4 T cells (Th)",0.000873488972484341,0.00200303654576568,0.00110496664828192,0.108094549131421
"Prostaglandin","CD8 T cells (CTL)",0.00164733516781141,0.00361995887272522,0.00199720462991324,0.111093056544347
"Prostaglandin","Endothelial cells",0.000488427594211482,0,0,0.0948602864646908
"Prostaglandin","Epithelial cells",0.000488440587533314,0,0,0.0948606477596341
"Prostaglandin","Fibroblasts",0.000123862199141408,0,0,0.0662823031757782
"Prostaglandin","Mast cells",6.12184495666828e-05,0,0,0.0474497974287816
"Prostaglandin","Monocytes",5.92470210123943e-05,0,0,0.0466004839045044
"Prostaglandin","Myeloid (Mac/DC)",0.00046265071167323,0,0,0.0940800790751316
"Prostaglandin","NK cells",0.000108413744048848,0,0,0.0627444641778459
"Prostaglandin","PDC/Plasma cells",4.92954808443564e-06,0,0,0.0122849154038352
"Prostaglandin","Pericytes",0.000399061200675733,0,0,0.0918029165611221
"Prostaglandin","TNK cells",0.000361289076310436,0,0,0.0901459751629147
"Prostaglandin","Tregs",0.000213608509560155,0,0,0.079700525209993
"MK","B cells",0,9.78157221805237e-05,0,0.0856170517269344
"MK","Basal epithelial",0.00106162770508958,0.00045259767253568,0.00238037964155023,0.0999864943497226
"MK","CD4 T cells (Th)",0,0.00041735573355289,0,0.0973622390164246
"MK","CD8 T cells (CTL)",0,0.000702616513930378,0,0.0996708335387375
"MK","Endothelial cells",0.000793987630025751,0.00114393163715141,0.0031717042919508,0.10227295365974
"MK","Epithelial cells",0.00229590063912423,0.000563736372744269,0.00396296836814752,0.102658030541772
"MK","Fibroblasts",0.000575456685346034,0.000269849131266298,0.00153386967733279,0.0988398000825658
"MK","Mast cells",0,7.41036186323772e-05,0,0.0333522770509982
"MK","Monocytes",0,6.35262159877484e-05,0,0.0301963507189967
"MK","Myeloid (Mac/DC)",0,0.000513990922443208,0,0.0771861469571591
"MK","NK cells",0,0.000239698761460656,0,0.0610081969766517
"MK","PDC/Plasma cells",0,5.89954737190737e-06,0,0.0112683812737494
"MK","Pericytes",0.000673598677056054,0.000584609463401142,0.00215461121154212,0.100581244106547
"MK","TNK cells",0,0.000169658922508796,0,0
"MK","Tregs",0,0.000101181101474372,0,0
"MHC-II","B cells",0.000383032897206676,0,0,0
"MHC-II","Basal epithelial",4.6468426397856e-05,0,0,0
"MHC-II","CD4 T cells (Th)",0,0,0,0
"MHC-II","CD8 T cells (CTL)",0.000170923043375432,0,0,0
"MHC-II","Endothelial cells",0.000540082595643511,0,0,0
"MHC-II","Epithelial cells",0.000102743172239901,0,0,0
"MHC-II","Fibroblasts",3.03810921309428e-05,0,0,0
"MHC-II","Mast cells",0,0,0,0
"MHC-II","Monocytes",0.000231472478220487,0,0,0
"MHC-II","Myeloid (Mac/DC)",0.00174961497485805,0.00344025770866587,0.000123926583479638,0.408467749147582
"MHC-II","NK cells",3.1959141848141e-05,0,0,0.10274188042655
