"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence","condition"
"Epithelial cells","Myeloid (Mac/DC)","MIF","CD74_CXCR4",0.000294756330137112,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"Fibroblasts","Myeloid (Mac/DC)","MIF","CD74_CXCR4",0.000187223183789904,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"Mast cells","Myeloid (Mac/DC)","MIF","CD74_CXCR4",0.00013048847543128,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"Monocytes","Myeloid (Mac/DC)","MIF","CD74_CXCR4",5.46392579776238e-05,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"Myeloid (Mac/DC)","Myeloid (Mac/DC)","MIF","CD74_CXCR4",0.000215303949113032,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"NK cells","Myeloid (Mac/DC)","MIF","CD74_CXCR4",0.000133355330596908,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"PDC/Plasma cells","Myeloid (Mac/DC)","MIF","CD74_CXCR4",4.66292484720612e-05,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"Pericytes","Myeloid (Mac/DC)","MIF","CD74_CXCR4",0.000457570676996511,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"TNK cells","Myeloid (Mac/DC)","MIF","CD74_CXCR4",0.000219608001376351,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"Tregs","Myeloid (Mac/DC)","MIF","CD74_CXCR4",0.00026309104999607,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"Basal epithelial","NK cells","MIF","CD74_CXCR4",3.73934632339676e-05,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"Endothelial cells","NK cells","MIF","CD74_CXCR4",9.90878331433448e-05,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"Epithelial cells","NK cells","MIF","CD74_CXCR4",8.24973375729778e-05,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"Fibroblasts","NK cells","MIF","CD74_CXCR4",5.27777476043034e-05,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"PDC/Plasma cells","NK cells","MIF","CD74_CXCR4",1.29103692005872e-05,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"Pericytes","NK cells","MIF","CD74_CXCR4",0.000127950337455893,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"B cells","PDC/Plasma cells","MIF","CD74_CXCR4",1.59491927960626e-05,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"Basal epithelial","PDC/Plasma cells","MIF","CD74_CXCR4",1.12505186931762e-05,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"CD4 T cells (Th)","PDC/Plasma cells","MIF","CD74_CXCR4",6.54015043383264e-05,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"CD8 T cells (CTL)","PDC/Plasma cells","MIF","CD74_CXCR4",6.41212318434306e-05,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"Endothelial cells","PDC/Plasma cells","MIF","CD74_CXCR4",3.01247862801643e-05,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"Epithelial cells","PDC/Plasma cells","MIF","CD74_CXCR4",2.4741684399686e-05,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"Fibroblasts","PDC/Plasma cells","MIF","CD74_CXCR4",1.57097319204575e-05,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"Mast cells","PDC/Plasma cells","MIF","CD74_CXCR4",1.09748932659655e-05,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"Monocytes","PDC/Plasma cells","MIF","CD74_CXCR4",4.59578507214118e-06,0.01,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"Myeloid (Mac/DC)","PDC/Plasma cells","MIF","CD74_CXCR4",1.81079357871815e-05,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"NK cells","PDC/Plasma cells","MIF","CD74_CXCR4",1.12122841920849e-05,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"PDC/Plasma cells","PDC/Plasma cells","MIF","CD74_CXCR4",3.91618772896171e-06,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"Pericytes","PDC/Plasma cells","MIF","CD74_CXCR4",3.84099929177932e-05,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"TNK cells","PDC/Plasma cells","MIF","CD74_CXCR4",1.84653475461696e-05,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"Tregs","PDC/Plasma cells","MIF","CD74_CXCR4",2.21230703116082e-05,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"B cells","TNK cells","MIF","CD74_CXCR4",0.000142964864938683,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"Basal epithelial","TNK cells","MIF","CD74_CXCR4",0.000101415806924878,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"CD4 T cells (Th)","TNK cells","MIF","CD74_CXCR4",0.000586265863909023,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"CD8 T cells (CTL)","TNK cells","MIF","CD74_CXCR4",0.000574938647160192,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"Endothelial cells","TNK cells","MIF","CD74_CXCR4",0.000271102575754692,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"Epithelial cells","TNK cells","MIF","CD74_CXCR4",0.000223142782924962,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"Fibroblasts","TNK cells","MIF","CD74_CXCR4",0.000141853429997017,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"Mast cells","TNK cells","MIF","CD74_CXCR4",9.83376303514581e-05,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"Monocytes","TNK cells","MIF","CD74_CXCR4",4.11709926924348e-05,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"Myeloid (Mac/DC)","TNK cells","MIF","CD74_CXCR4",0.000162265097171362,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"NK cells","TNK cells","MIF","CD74_CXCR4",0.000100574409817706,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"PDC/Plasma cells","TNK cells","MIF","CD74_CXCR4",3.52557642466547e-05,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"Pericytes","TNK cells","MIF","CD74_CXCR4",0.000346363542193037,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"TNK cells","TNK cells","MIF","CD74_CXCR4",0.000165602471779696,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"Tregs","TNK cells","MIF","CD74_CXCR4",0.000198360990813379,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
