"pathway","cell_type","outdegree","indegree","flowbet","info"
"SELE","Tregs",0,6.92132093756865e-05,0,0
"ANNEXIN","B cells",0,0,0,0
"ANNEXIN","Basal epithelial",4.37162913586162e-06,0,0,0
"ANNEXIN","CD4 T cells (Th)",0.000113080299604282,0,0,0
"ANNEXIN","CD8 T cells (CTL)",0.0001048505441728,0,0,0
"ANNEXIN","Endothelial cells",5.5906153392194e-06,0,0,0
"ANNEXIN","Epithelial cells",3.35437199907018e-06,0,0,0
"ANNEXIN","Fibroblasts",1.44926391707992e-06,0,0,0
"ANNEXIN","Mast cells",3.2818819990623e-05,0,0,0
"ANNEXIN","Monocytes",6.77753613736657e-06,0.000319465580991167,0,0.448602951722097
"ANNEXIN","Myeloid (Mac/DC)",8.63523304031727e-06,0,0,0.135944189676926
"ANNEXIN","NK cells",1.17416022687203e-05,0,0,0.164250305938278
"ANNEXIN","PDC/Plasma cells",0,0,0,0
"ANNEXIN","Pericytes",0,0,0,0
"ANNEXIN","TNK cells",2.67956653858268e-05,0,0,0.251202552662698
"ANNEXIN","Tregs",0,0,0,0
"Cholesterol","B cells",0,0,0,0
"Cholesterol","Basal epithelial",0,0,0,0
"Cholesterol","CD4 T cells (Th)",0,0.000124460215759803,0,0.273737355794137
"Cholesterol","CD8 T cells (CTL)",0,0.000101054850976822,0,0.242889316559841
"Cholesterol","Endothelial cells",0,0,0,0
"Cholesterol","Epithelial cells",6.46706571838353e-05,0,0,0.16227622738603
"Cholesterol","Fibroblasts",0,0,0,0
"Cholesterol","Mast cells",0,0,0,0
"Cholesterol","Monocytes",0,0,0,0
"Cholesterol","Myeloid (Mac/DC)",0.000199305208729396,0,0,0.321097100259992
"Cholesterol","NK cells",0,0,0,0
"Cholesterol","PDC/Plasma cells",0,0,0,0
"Cholesterol","Pericytes",0,0,0,0
"Cholesterol","TNK cells",0,0,0,0
"Cholesterol","Tregs",0,3.84607991766068e-05,0,0
"ESAM","B cells",0,0,0,0
"ESAM","Basal epithelial",0,0,0,0
"ESAM","CD4 T cells (Th)",0,0,0,0
"ESAM","CD8 T cells (CTL)",0,0,0,0
"ESAM","Endothelial cells",0.00019690797177325,0.00019690797177325,0,0.500026778329072
"ESAM","Epithelial cells",0,0,0,0
"ESAM","Fibroblasts",0,0,0,0
"ESAM","Mast cells",0,0,0,0
"ESAM","Monocytes",0,0,0,0
"ESAM","Myeloid (Mac/DC)",0,0,0,0
"ESAM","NK cells",0,0,0,0
"ESAM","PDC/Plasma cells",0,0,0,0
"ESAM","Pericytes",5.68217632198071e-05,5.68217632198071e-05,0,0.499973221670928
"ESAM","TNK cells",0,0,0,0
"ESAM","Tregs",0,0,0,0
"SELL","B cells",3.82591884587822e-05,0,0,0
"SELL","Basal epithelial",0,0,0,0
"SELL","CD4 T cells (Th)",0.000114841001056473,0,0,0
"SELL","CD8 T cells (CTL)",0,0,0,0
"SELL","Endothelial cells",0,0.000204764674509161,0,0.449375592027524
"SELL","Epithelial cells",0,0,0,0
"SELL","Fibroblasts",0,0,0,0
"SELL","Mast cells",0,0,0,0
"SELL","Monocytes",0,0,0,0
"SELL","Myeloid (Mac/DC)",0,0,0,0
"SELL","NK cells",0,0,0,0
"SELL","PDC/Plasma cells",2.8358843755665e-06,0,0,0.148542534640066
"SELL","Pericytes",0,0,0,0
"SELL","TNK cells",0,0,0,0
"SELL","Tregs",4.88286006183393e-05,0,0,0.40208187333241
"FN1","B cells",0,6.25397501472295e-06,0,0.119104553539443
"FN1","Basal epithelial",0,3.15936548429478e-06,0,0.0765575773954452
"FN1","CD4 T cells (Th)",0,6.95562138035898e-05,0,0.250529710843177
"FN1","CD8 T cells (CTL)",0,2.59706853550708e-05,0,0.211576737352079
"FN1","Endothelial cells",0,0,0,0
"FN1","Epithelial cells",0,2.31402697647265e-06,0,0.0607627955823347
"FN1","Fibroblasts",0.000198482904459884,1.29814450685425e-06,0,0.281468625287521
"FN1","Mast cells",0,2.14405226740399e-05,0,0
"FN1","Monocytes",0,9.15853082620416e-06,0,0
"FN1","Myeloid (Mac/DC)",0,4.79158700695455e-06,0,0
"FN1","NK cells",0,4.4819566587741e-06,0,0
"FN1","PDC/Plasma cells",0,4.30783418062588e-07,0,0
"FN1","Pericytes",0,3.50117784672856e-06,0,0
"FN1","TNK cells",0,2.12498481650695e-05,0,0
"FN1","Tregs",0,2.48760867230457e-05,0,0
"LAMININ","B cells",0,3.81082828437194e-06,0,0.499999749887162
"LAMININ","Basal epithelial",0.000127929057489912,1.30828710372378e-06,0,0.500000250112838
